window_index,start_frame,center_frame,center_seconds,rolling_shoplifting_probability
0,0,30.0,1.0,0.04643604904413223
1,15,45.0,1.5,0.027913641184568405
2,30,60.0,2.0,0.030855625867843628
3,45,75.0,2.5,0.06173468753695488
4,60,90.0,3.0,0.09055642038583755
5,75,105.0,3.5,0.20866921544075012
6,90,120.0,4.0,0.2764454483985901
7,105,135.0,4.5,0.357748419046402
8,120,150.0,5.0,0.5531623959541321
9,135,165.0,5.5,0.3547160029411316
10,150,180.0,6.0,0.4856482148170471
11,165,195.0,6.5,0.6115875840187073
12,180,210.0,7.0,0.5452407598495483
13,195,225.0,7.5,0.7784190773963928
14,210,240.0,8.0,0.28683871030807495
15,225,255.0,8.5,0.3145992159843445
16,240,270.0,9.0,0.29513344168663025
17,255,285.0,9.5,0.3351191580295563
18,270,300.0,10.0,0.4796566963195801
19,285,315.0,10.5,0.2516529858112335
20,296,326.0,10.866666666666667,0.09081581234931946
